,sbj,runtrial,run,stimx,answer,response,rt,correct,type,trial,f1,f2,f3,c,endacc,learner
0,100,1,1,8,1,,,0,prototype,1,2,2,2,2,0.5,med
1,100,2,1,7,1,1.0,1912.0,1,rule follower,2,1,2,2,2,0.5,med
2,100,3,1,1,0,1.0,1230.0,0,prototype,3,1,1,1,1,0.5,med
3,100,4,1,1,0,1.0,1665.0,0,prototype,4,1,1,1,1,0.5,med
4,100,5,1,8,1,1.0,1133.0,1,prototype,5,2,2,2,2,0.5,med
5,100,6,1,4,1,0.0,1045.0,0,rule follower,6,2,1,2,2,0.5,med
6,100,7,1,5,1,1.0,1527.0,1,exception,7,1,2,1,2,0.5,med
7,100,8,1,8,1,1.0,1385.0,1,prototype,8,2,2,2,2,0.5,med
8,100,9,1,1,0,0.0,1681.0,1,prototype,9,1,1,1,1,0.5,med
9,100,10,1,8,1,1.0,717.0,1,prototype,10,2,2,2,2,0.5,med
10,100,11,1,6,0,1.0,612.0,0,exception,11,2,2,1,1,0.5,med
11,100,12,1,4,1,0.0,1832.0,0,rule follower,12,2,1,2,2,0.5,med
12,100,13,1,6,0,0.0,1220.0,1,exception,13,2,2,1,1,0.5,med
13,100,14,1,7,1,1.0,1732.0,1,rule follower,14,1,2,2,2,0.5,med
14,100,15,1,1,0,0.0,2013.0,1,prototype,15,1,1,1,1,0.5,med
15,100,16,1,8,1,1.0,1596.0,1,prototype,16,2,2,2,2,0.5,med
16,100,17,1,3,0,0.0,1500.0,1,rule follower,17,1,1,2,1,0.5,med
17,100,18,1,5,1,1.0,1448.0,1,exception,18,1,2,1,2,0.5,med
18,100,19,1,3,0,0.0,1045.0,1,rule follower,19,1,1,2,1,0.5,med
19,100,20,1,1,0,0.0,1533.0,1,prototype,20,1,1,1,1,0.5,med
20,100,21,1,1,0,0.0,1628.0,1,prototype,21,1,1,1,1,0.5,med
21,100,22,1,8,1,0.0,2463.0,0,prototype,22,2,2,2,2,0.5,med
22,100,23,1,2,0,0.0,1491.0,1,rule follower,23,2,1,1,1,0.5,med
23,100,24,1,2,0,0.0,1579.0,1,rule follower,24,2,1,1,1,0.5,med
24,100,1,2,1,0,0.0,1216.0,1,prototype,25,1,1,1,1,0.5,med
25,100,2,2,8,1,1.0,894.0,1,prototype,26,2,2,2,2,0.5,med
26,100,3,2,8,1,1.0,972.0,1,prototype,27,2,2,2,2,0.5,med
27,100,4,2,1,0,0.0,1483.0,1,prototype,28,1,1,1,1,0.5,med
28,100,5,2,5,1,1.0,769.0,1,exception,29,1,2,1,2,0.5,med
29,100,6,2,6,0,1.0,1013.0,0,exception,30,2,2,1,1,0.5,med
30,100,7,2,3,0,0.0,1071.0,1,rule follower,31,1,1,2,1,0.5,med
31,100,8,2,7,1,1.0,1085.0,1,rule follower,32,1,2,2,2,0.5,med
32,100,9,2,4,1,0.0,864.0,0,rule follower,33,2,1,2,2,0.5,med
33,100,10,2,7,1,,,0,rule follower,34,1,2,2,2,0.5,med
