sbj,runtrial,run,stimx,answer,response,rt,correct,type,trial,f1,f2,f3,c,endacc,learner
100,1,1,8,1,NA,NA,0,prototype,1,2,2,2,2,0.5,med
100,2,1,7,1,1,1912,1,rule follower,2,1,2,2,2,0.5,med
100,3,1,1,0,1,1230,0,prototype,3,1,1,1,1,0.5,med
100,4,1,1,0,1,1665,0,prototype,4,1,1,1,1,0.5,med
100,5,1,8,1,1,1133,1,prototype,5,2,2,2,2,0.5,med
100,6,1,4,1,0,1045,0,rule follower,6,2,1,2,2,0.5,med
100,7,1,5,1,1,1527,1,exception,7,1,2,1,2,0.5,med
100,8,1,8,1,1,1385,1,prototype,8,2,2,2,2,0.5,med
100,9,1,1,0,0,1681,1,prototype,9,1,1,1,1,0.5,med
100,10,1,8,1,1,717,1,prototype,10,2,2,2,2,0.5,med
100,11,1,6,0,1,612,0,exception,11,2,2,1,1,0.5,med
100,12,1,4,1,0,1832,0,rule follower,12,2,1,2,2,0.5,med
100,13,1,6,0,0,1220,1,exception,13,2,2,1,1,0.5,med
100,14,1,7,1,1,1732,1,rule follower,14,1,2,2,2,0.5,med
100,15,1,1,0,0,2013,1,prototype,15,1,1,1,1,0.5,med
100,16,1,8,1,1,1596,1,prototype,16,2,2,2,2,0.5,med
100,17,1,3,0,0,1500,1,rule follower,17,1,1,2,1,0.5,med
100,18,1,5,1,1,1448,1,exception,18,1,2,1,2,0.5,med
100,19,1,3,0,0,1045,1,rule follower,19,1,1,2,1,0.5,med
100,20,1,1,0,0,1533,1,prototype,20,1,1,1,1,0.5,med
100,21,1,1,0,0,1628,1,prototype,21,1,1,1,1,0.5,med
100,22,1,8,1,0,2463,0,prototype,22,2,2,2,2,0.5,med
100,23,1,2,0,0,1491,1,rule follower,23,2,1,1,1,0.5,med
100,24,1,2,0,0,1579,1,rule follower,24,2,1,1,1,0.5,med
100,1,2,1,0,0,1216,1,prototype,25,1,1,1,1,0.5,med
100,2,2,8,1,1,894,1,prototype,26,2,2,2,2,0.5,med
100,3,2,8,1,1,972,1,prototype,27,2,2,2,2,0.5,med
100,4,2,1,0,0,1483,1,prototype,28,1,1,1,1,0.5,med
100,5,2,5,1,1,769,1,exception,29,1,2,1,2,0.5,med
100,6,2,6,0,1,1013,0,exception,30,2,2,1,1,0.5,med
100,7,2,3,0,0,1071,1,rule follower,31,1,1,2,1,0.5,med
100,8,2,7,1,1,1085,1,rule follower,32,1,2,2,2,0.5,med
100,9,2,4,1,0,864,0,rule follower,33,2,1,2,2,0.5,med
100,10,2,7,1,NA,NA,0,rule follower,34,1,2,2,2,0.5,med
100,11,2,8,1,1,860,1,prototype,35,2,2,2,2,0.5,med
100,12,2,2,0,0,1325,1,rule follower,36,2,1,1,1,0.5,med
100,13,2,4,1,0,2489,0,rule follower,37,2,1,2,2,0.5,med
100,14,2,3,0,0,1942,1,rule follower,38,1,1,2,1,0.5,med
100,15,2,8,1,1,1710,1,prototype,39,2,2,2,2,0.5,med
100,16,2,1,0,0,1201,1,prototype,40,1,1,1,1,0.5,med
100,17,2,5,1,1,1892,1,exception,41,1,2,1,2,0.5,med
100,18,2,8,1,0,2049,0,prototype,42,2,2,2,2,0.5,med
100,19,2,1,0,0,808,1,prototype,43,1,1,1,1,0.5,med
100,20,2,6,0,1,721,0,exception,44,2,2,1,1,0.5,med
100,21,2,2,0,0,1816,1,rule follower,45,2,1,1,1,0.5,med
100,22,2,8,1,1,2894,1,prototype,46,2,2,2,2,0.5,med
100,23,2,1,0,0,567,1,prototype,47,1,1,1,1,0.5,med
