,Unnamed: 0,node_name,peak_value,parameter,roi,network
0,0,v_Intercept,0.0942728895221298,v,1,VisualCentral
1,1,"v_C(type, Treatment('prototype'))[T.exception]",0.10376659748367613,v,1,VisualCentral
2,2,"v_C(type, Treatment('prototype'))[T.rule follower]",-0.043797636545323086,v,1,VisualCentral
3,3,v_roi1,-0.2621168596166764,v,1,VisualCentral
4,4,"v_roi1:C(type, Treatment('prototype'))[T.exception]",-0.0015135303713667005,v,1,VisualCentral
5,5,"v_roi1:C(type, Treatment('prototype'))[T.rule follower]",-0.010860199821195682,v,1,VisualCentral
6,6,a_Intercept,1.6088610950925168,a,1,VisualCentral
7,7,"a_C(type, Treatment('prototype'))[T.exception]",0.029987179472467207,a,1,VisualCentral
8,8,"a_C(type, Treatment('prototype'))[T.rule follower]",0.016325798116928525,a,1,VisualCentral
9,9,a_roi1,0.8741263902838816,a,1,VisualCentral
10,10,"a_roi1:C(type, Treatment('prototype'))[T.exception]",0.21527202583820426,a,1,VisualCentral
11,11,"a_roi1:C(type, Treatment('prototype'))[T.rule follower]",0.07434497854782329,a,1,VisualCentral
12,12,t_Intercept,0.3774258466211484,t,1,VisualCentral
13,13,"t_C(type, Treatment('prototype'))[T.exception]",0.020993599181041683,t,1,VisualCentral
14,14,"t_C(type, Treatment('prototype'))[T.rule follower]",0.01952672905413512,t,1,VisualCentral
15,15,t_roi1,-0.13606801407223773,t,1,VisualCentral
16,16,"t_roi1:C(type, Treatment('prototype'))[T.exception]",-0.03039776872139472,t,1,VisualCentral
17,17,"t_roi1:C(type, Treatment('prototype'))[T.rule follower]",0.04186821758808978,t,1,VisualCentral
18,18,v_Intercept,0.07016061953126199,v,2,VisualCentral
19,19,"v_C(type, Treatment('prototype'))[T.exception]",0.10500883693106487,v,2,VisualCentral
20,20,"v_C(type, Treatment('prototype'))[T.rule follower]",-0.053442815598071625,v,2,VisualCentral
21,21,v_roi2,-0.07182356989193528,v,2,VisualCentral
22,22,"v_roi2:C(type, Treatment('prototype'))[T.exception]",-0.08044753371161317,v,2,VisualCentral
23,23,"v_roi2:C(type, Treatment('prototype'))[T.rule follower]",0.03364039039793565,v,2,VisualCentral
24,24,a_Intercept,1.5643759102159789,a,2,VisualCentral
25,25,"a_C(type, Treatment('prototype'))[T.exception]",0.0853756765791073,a,2,VisualCentral
26,26,"a_C(type, Treatment('prototype'))[T.rule follower]",0.026595179732503416,a,2,VisualCentral
27,27,a_roi2,0.5924059178172479,a,2,VisualCentral
28,28,"a_roi2:C(type, Treatment('prototype'))[T.exception]",-0.182627940191747,a,2,VisualCentral
29,29,"a_roi2:C(type, Treatment('prototype'))[T.rule follower]",0.04472331425582854,a,2,VisualCentral
30,30,t_Intercept,0.3725598595270846,t,2,VisualCentral
31,31,"t_C(type, Treatment('prototype'))[T.exception]",0.019447472667670933,t,2,VisualCentral
32,32,"t_C(type, Treatment('prototype'))[T.rule follower]",0.013344382550103605,t,2,VisualCentral
33,33,t_roi2,-0.060691768422076575,t,2,VisualCentral
34,34,"t_roi2:C(type, Treatment('prototype'))[T.exception]",0.030364618706150762,t,2,VisualCentral
35,35,"t_roi2:C(type, Treatment('prototype'))[T.rule follower]",0.0370249592589966,t,2,VisualCentral
36,36,v_Intercept,0.023945738659134463,v,8,limbic
37,37,"v_C(type, Treatment('prototype'))[T.exception]",0.11934233580417725,v,8,limbic
38,38,"v_C(type, Treatment('prototype'))[T.rule follower]",-0.04144301818581561,v,8,limbic
39,39,v_roi8,-0.38162036514706377,v,8,limbic
40,40,"v_roi8:C(type, Treatment('prototype'))[T.exception]",0.061960467738365166,v,8,limbic
41,41,"v_roi8:C(type, Treatment('prototype'))[T.rule follower]",0.22813196572496475,v,8,limbic
42,42,a_Intercept,1.827376394430775,a,8,limbic
43,43,"a_C(type, Treatment('prototype'))[T.exception]",0.10174280414226786,a,8,limbic
44,44,"a_C(type, Treatment('prototype'))[T.rule follower]",0.056786699287987685,a,8,limbic
45,45,a_roi8,0.7345945889887967,a,8,limbic
46,46,"a_roi8:C(type, Treatment('prototype'))[T.exception]",0.24036266676278265,a,8,limbic
47,47,"a_roi8:C(type, Treatment('prototype'))[T.rule follower]",-0.11725015600966204,a,8,limbic
48,48,t_Intercept,0.3454120053596728,t,8,limbic
49,49,"t_C(type, Treatment('prototype'))[T.exception]",0.01646539402169423,t,8,limbic
50,50,"t_C(type, Treatment('prototype'))[T.rule follower]",0.03449680622495422,t,8,limbic
51,51,t_roi8,-0.0749016805842734,t,8,limbic
52,52,"t_roi8:C(type, Treatment('prototype'))[T.exception]",0.028827484235999287,t,8,limbic
53,53,"t_roi8:C(type, Treatment('prototype'))[T.rule follower]",0.07112184699678918,t,8,limbic
54,54,v_Intercept,0.07114272095627949,v,14,DorsalAttention
55,55,"v_C(type, Treatment('prototype'))[T.exception]",0.07293691147918757,v,14,DorsalAttention
56,56,"v_C(type, Treatment('prototype'))[T.rule follower]",0.0017100780946790186,v,14,DorsalAttention
57,57,v_roi14,-0.6409608394469846,v,14,DorsalAttention
58,58,"v_roi14:C(type, Treatment('prototype'))[T.exception]",0.2941401513671127,v,14,DorsalAttention
59,59,"v_roi14:C(type, Treatment('prototype'))[T.rule follower]",-0.4046723525869471,v,14,DorsalAttention
60,60,a_Intercept,1.7367502172912397,a,14,DorsalAttention
61,61,"a_C(type, Treatment('prototype'))[T.exception]",0.11370718661482206,a,14,DorsalAttention
62,62,"a_C(type, Treatment('prototype'))[T.rule follower]",0.029623807252841663,a,14,DorsalAttention
63,63,a_roi14,1.0171534574268284,a,14,DorsalAttention
