,node_name,peak_value,parameter,roi
0,v_Intercept,0.0942728895221298,v,1
1,"v_C(type, Treatment('prototype'))[T.exception]",0.10376659748367613,v,1
2,"v_C(type, Treatment('prototype'))[T.rule follower]",-0.043797636545323086,v,1
3,v_roi1,-0.2621168596166764,v,1
4,"v_roi1:C(type, Treatment('prototype'))[T.exception]",-0.0015135303713667005,v,1
5,"v_roi1:C(type, Treatment('prototype'))[T.rule follower]",-0.010860199821195682,v,1
6,a_Intercept,1.6088610950925168,a,1
7,"a_C(type, Treatment('prototype'))[T.exception]",0.029987179472467207,a,1
8,"a_C(type, Treatment('prototype'))[T.rule follower]",0.016325798116928525,a,1
9,a_roi1,0.8741263902838816,a,1
10,"a_roi1:C(type, Treatment('prototype'))[T.exception]",0.21527202583820426,a,1
11,"a_roi1:C(type, Treatment('prototype'))[T.rule follower]",0.07434497854782329,a,1
12,t_Intercept,0.3774258466211484,t,1
13,"t_C(type, Treatment('prototype'))[T.exception]",0.020993599181041683,t,1
14,"t_C(type, Treatment('prototype'))[T.rule follower]",0.01952672905413512,t,1
15,t_roi1,-0.13606801407223773,t,1
16,"t_roi1:C(type, Treatment('prototype'))[T.exception]",-0.03039776872139472,t,1
17,"t_roi1:C(type, Treatment('prototype'))[T.rule follower]",0.041868217588089784,t,1
18,v_Intercept,0.07016061953126199,v,2
19,"v_C(type, Treatment('prototype'))[T.exception]",0.10500883693106487,v,2
20,"v_C(type, Treatment('prototype'))[T.rule follower]",-0.053442815598071625,v,2
21,v_roi2,-0.07182356989193528,v,2
22,"v_roi2:C(type, Treatment('prototype'))[T.exception]",-0.08044753371161317,v,2
23,"v_roi2:C(type, Treatment('prototype'))[T.rule follower]",0.03364039039793565,v,2
24,a_Intercept,1.5643759102159789,a,2
25,"a_C(type, Treatment('prototype'))[T.exception]",0.0853756765791073,a,2
26,"a_C(type, Treatment('prototype'))[T.rule follower]",0.026595179732503416,a,2
27,a_roi2,0.5924059178172479,a,2
28,"a_roi2:C(type, Treatment('prototype'))[T.exception]",-0.182627940191747,a,2
29,"a_roi2:C(type, Treatment('prototype'))[T.rule follower]",0.04472331425582854,a,2
30,t_Intercept,0.3725598595270846,t,2
31,"t_C(type, Treatment('prototype'))[T.exception]",0.019447472667670933,t,2
32,"t_C(type, Treatment('prototype'))[T.rule follower]",0.013344382550103605,t,2
33,t_roi2,-0.060691768422076575,t,2
34,"t_roi2:C(type, Treatment('prototype'))[T.exception]",0.030364618706150762,t,2
35,"t_roi2:C(type, Treatment('prototype'))[T.rule follower]",0.0370249592589966,t,2
36,v_Intercept,0.023945738659134463,v,8
37,"v_C(type, Treatment('prototype'))[T.exception]",0.11934233580417725,v,8
38,"v_C(type, Treatment('prototype'))[T.rule follower]",-0.04144301818581561,v,8
39,v_roi8,-0.38162036514706377,v,8
40,"v_roi8:C(type, Treatment('prototype'))[T.exception]",0.061960467738365166,v,8
41,"v_roi8:C(type, Treatment('prototype'))[T.rule follower]",0.22813196572496475,v,8
42,a_Intercept,1.827376394430775,a,8
43,"a_C(type, Treatment('prototype'))[T.exception]",0.10174280414226786,a,8
44,"a_C(type, Treatment('prototype'))[T.rule follower]",0.056786699287987685,a,8
45,a_roi8,0.7345945889887967,a,8
46,"a_roi8:C(type, Treatment('prototype'))[T.exception]",0.24036266676278265,a,8
