,node_name,peak_value,parameter
0,v_Intercept,0.0942728895221298,0
1,"v_C(type, Treatment('prototype'))[T.exception]",0.10376659748367613,1
2,"v_C(type, Treatment('prototype'))[T.rule follower]",-0.043797636545323086,2
3,v_roi1,-0.2621168596166764,3
4,"v_roi1:C(type, Treatment('prototype'))[T.exception]",-0.0015135303713667005,4
5,"v_roi1:C(type, Treatment('prototype'))[T.rule follower]",-0.010860199821195682,5
6,a_Intercept,1.6088610950925168,6
7,"a_C(type, Treatment('prototype'))[T.exception]",0.029987179472467207,7
8,"a_C(type, Treatment('prototype'))[T.rule follower]",0.016325798116928525,8
9,a_roi1,0.8741263902838816,9
10,"a_roi1:C(type, Treatment('prototype'))[T.exception]",0.21527202583820426,1
11,"a_roi1:C(type, Treatment('prototype'))[T.rule follower]",0.07434497854782329,1
12,t_Intercept,0.3774258466211484,1
13,"t_C(type, Treatment('prototype'))[T.exception]",0.020993599181041683,1
14,"t_C(type, Treatment('prototype'))[T.rule follower]",0.019526729054135116,1
15,t_roi1,-0.13606801407223773,1
16,"t_roi1:C(type, Treatment('prototype'))[T.exception]",-0.03039776872139472,1
17,"t_roi1:C(type, Treatment('prototype'))[T.rule follower]",0.04186821758808978,1
0,v_Intercept,0.07016061953126199,0
1,"v_C(type, Treatment('prototype'))[T.exception]",0.10500883693106487,1
2,"v_C(type, Treatment('prototype'))[T.rule follower]",-0.053442815598071625,2
3,v_roi2,-0.07182356989193528,3
4,"v_roi2:C(type, Treatment('prototype'))[T.exception]",-0.08044753371161317,4
5,"v_roi2:C(type, Treatment('prototype'))[T.rule follower]",0.03364039039793565,5
6,a_Intercept,1.564375910215979,6
7,"a_C(type, Treatment('prototype'))[T.exception]",0.0853756765791073,7
8,"a_C(type, Treatment('prototype'))[T.rule follower]",0.026595179732503416,8
9,a_roi2,0.5924059178172479,9
10,"a_roi2:C(type, Treatment('prototype'))[T.exception]",-0.182627940191747,1
11,"a_roi2:C(type, Treatment('prototype'))[T.rule follower]",0.04472331425582854,1
12,t_Intercept,0.3725598595270846,1
13,"t_C(type, Treatment('prototype'))[T.exception]",0.01944747266767093,1
14,"t_C(type, Treatment('prototype'))[T.rule follower]",0.013344382550103605,1
15,t_roi2,-0.060691768422076575,1
16,"t_roi2:C(type, Treatment('prototype'))[T.exception]",0.030364618706150762,1
17,"t_roi2:C(type, Treatment('prototype'))[T.rule follower]",0.0370249592589966,1
0,v_Intercept,0.023945738659134463,0
1,"v_C(type, Treatment('prototype'))[T.exception]",0.11934233580417725,1
2,"v_C(type, Treatment('prototype'))[T.rule follower]",-0.04144301818581561,2
3,v_roi8,-0.38162036514706377,3
4,"v_roi8:C(type, Treatment('prototype'))[T.exception]",0.061960467738365166,4
5,"v_roi8:C(type, Treatment('prototype'))[T.rule follower]",0.22813196572496475,5
6,a_Intercept,1.827376394430775,6
7,"a_C(type, Treatment('prototype'))[T.exception]",0.10174280414226786,7
8,"a_C(type, Treatment('prototype'))[T.rule follower]",0.056786699287987685,8
9,a_roi8,0.7345945889887967,9
10,"a_roi8:C(type, Treatment('prototype'))[T.exception]",0.24036266676278265,1
11,"a_roi8:C(type, Treatment('prototype'))[T.rule follower]",-0.11725015600966204,1
12,t_Intercept,0.3454120053596728,1
13,"t_C(type, Treatment('prototype'))[T.exception]",0.01646539402169423,1
14,"t_C(type, Treatment('prototype'))[T.rule follower]",0.03449680622495422,1
