,proto_slopes,rulefollower_slopes,exception_slopes,proto_rf,rf_excep,proto_excep
1,0.192608618,-0.160379536,-0.026989164,0.352988154,-0.133390372,0.219597782
2,0.165424644,-0.334153086,-0.070198445,0.499577731,-0.263954641,0.235623089
3,0.171722071,-0.138440418,-0.008706383,0.310162489,-0.129734035,0.180428455
4,0.064528989,-0.300864916,-0.1862031,0.365393905,-0.114661816,0.250732089
5,-0.028721415,0.016133462,-0.212003781,-0.044854876,0.228137242,0.183282366
6,0.070744706,-0.139561302,-0.044238949,0.210306009,-0.095322354,0.114983655
7,0.010571678,-0.32016408,0.132503649,0.330735758,-0.452667729,-0.121931971
8,0.077802957,-0.063847848,0.073903578,0.141650805,-0.137751426,0.003899379
9,-0.155761212,-0.129713429,-0.094114409,-0.026047784,-0.035599019,-0.061646803
10,-0.251355819,-0.16301781,-0.078743912,-0.088338009,-0.084273898,-0.172611907
11,-0.048241157,0.13137534,0.139165113,-0.179616497,-0.007789773,-0.18740627
12,-0.042213119,0.081467233,-0.022390438,-0.123680352,0.103857671,-0.019822681
13,0.041385654,-0.183804699,-0.023051066,0.225190353,-0.160753633,0.06443672
14,0.131387788,-0.10145376,0.073047399,0.232841548,-0.174501159,0.058340389
15,0.042224473,-0.196657431,-0.098199262,0.238881905,-0.098458169,0.140423735
16,0.088930068,0.031876678,0.255302602,0.057053389,-0.223425923,-0.166372534
17,0.007394336,-0.11472442,0.062457438,0.122118756,-0.177181857,-0.055063101
18,0.143284433,-0.001009908,-0.116187634,0.144294341,0.115177725,0.259472066
19,0.081559702,-0.041693643,-0.179126756,0.123253345,0.137433113,0.260686458
20,0.011423062,-0.237505467,-0.255207295,0.248928528,0.017701828,0.266630357
21,0.050311359,0.032206851,-0.168420826,0.018104508,0.200627676,0.218732184
22,0.080363724,0.114077982,-0.225099581,-0.033714258,0.339177563,0.305463305
23,0.039407959,-0.167191635,-0.040932609,0.206599594,-0.126259027,0.080340567
24,0.014853244,-0.2195034,-0.395869332,0.234356643,0.176365932,0.410722575
25,0.071921975,-0.198054912,-0.274594129,0.269976887,0.076539216,0.346516104
26,0.264427359,-0.050443987,-0.034941193,0.314871346,-0.015502794,0.299368552
27,0.273727511,-0.137266778,0.146892436,0.410994289,-0.284159214,0.126835075
28,0.235834031,-0.187712167,0.23401832,0.423546198,-0.421730486,0.001815712
29,0.134672585,-0.380347816,-0.045151442,0.515020401,-0.335196375,0.179824026
30,-0.007614025,-0.241201699,-0.051686001,0.233587674,-0.189515698,0.044071976
31,0.016593579,0.040931843,-0.097229776,-0.024338264,0.138161619,0.113823355
32,-0.008900288,-0.118492977,0.001438564,0.109592689,-0.119931541,-0.010338852
33,-0.019922498,-0.08427694,-0.072087325,0.064354442,-0.012189615,0.052164827
34,0.107264763,-0.043777645,0.189785354,0.151042408,-0.233562999,-0.082520591
35,0.088583426,-0.067215763,-0.012825775,0.155799189,-0.054389987,0.101409201
36,0.054154053,-0.149988286,-0.139045696,0.204142339,-0.01094259,0.193199749
37,0.020182817,-0.128854752,-0.197231737,0.149037568,0.068376986,0.217414554
38,-0.064678142,-0.291915251,0.141033609,0.227237109,-0.432948859,-0.205711751
39,0.095137925,-0.080523053,0.268795801,0.175660978,-0.349318853,-0.173657876
40,0.073418184,-0.088969469,0.127044237,0.162387654,-0.216013706,-0.053626052
41,0.153568346,0.021516642,-0.092621157,0.132051705,0.114137799,0.246189503
42,0.170056933,-0.158326787,0.07604452,0.32838372,-0.234371307,0.094012413
43,0.032389756,-0.265009956,-0.060366996,0.297399712,-0.20464296,0.092756752
44,0.056927631,-0.140442864,0.027448304,0.197370494,-0.167891168,0.029479326
45,0.038547819,-0.06015442,-0.141548153,0.098702239,0.081393733,0.180095972
46,0.046490807,-0.088941463,-0.114644175,0.13543227,0.025702713,0.161134982
47,0.150761618,-0.167967314,0.017228988,0.318728932,-0.185196302,0.13353263
48,0.032894925,-0.248078255,0.003026688,0.280973179,-0.251104943,0.029868236
49,0.087538138,-0.174450865,0.035646224,0.261989003,-0.21009709,0.051891913
50,0.04691574,-0.299635637,0.044418727,0.346551377,-0.344054364,0.002497013
51,0.107841647,-0.149527939,0.094249761,0.257369586,-0.2437777,0.013591886
52,0.169799721,0.049954347,0.11501458,0.119845374,-0.065060233,0.054785141
53,-0.038130188,-0.148586461,-0.078345956,0.110456274,-0.070240505,0.040215768
54,-0.088959073,-0.029281507,-0.027702075,-0.059677567,-0.001579432,-0.061256998
55,-0.065404672,0.006382287,0.058567622,-0.071786958,-0.052185336,-0.123972294
56,-0.06603797,0.074828552,-0.026029682,-0.140866522,0.100858234,-0.040008289
57,-0.121499498,0.012790731,-0.040469344,-0.134290229,0.053260075,-0.081030155
58,0.095129658,-0.081840213,-0.036222107,0.176969871,-0.045618106,0.131351765
59,0.087906207,-0.2424608,0.104203727,0.330367007,-0.346664527,-0.01629752
60,-0.025527685,-0.126314294,-0.060460004,0.100786609,-0.06585429,0.034932319
61,-0.0179709,-0.15258213,-0.039869496,0.13461123,-0.112712633,0.021898596
62,0.034457153,-0.101013848,0.12598064,0.135471001,-0.226994488,-0.091523487
63,0.036859134,-0.043019649,0.192348575,0.079878783,-0.235368224,-0.155489441
64,0.135246396,-0.101202718,0.117054842,0.236449114,-0.21825756,0.018191554
65,-0.005359015,-0.171026127,0.084004501,0.165667113,-0.255030628,-0.089363516
66,-0.016964111,-0.016311381,0.05745786,-0.000652729,-0.073769241,-0.074421971
67,-0.011057724,-0.054000766,0.066604082,0.042943041,-0.120604847,-0.077661806
68,-0.149763208,-0.045805126,0.104548891,-0.103958082,-0.150354017,-0.254312098
69,-0.173270561,-0.243718628,-0.140008179,0.070448067,-0.103710449,-0.033262382
70,0.028566349,-0.165940118,0.044939463,0.194506467,-0.210879581,-0.016373114
71,0.107004721,-0.072021869,0.070400257,0.17902659,-0.142422126,0.036604464
72,0.046969027,-0.250136211,-0.000220845,0.297105237,-0.249915365,0.047189872
73,0.116621999,-0.180803012,0.15851594,0.297425011,-0.339318953,-0.041893942
74,0.149910698,0.059191471,-0.153957412,0.090719227,0.213148883,0.30386811
75,0.094233927,-0.353896705,-0.161525686,0.448130632,-0.192371019,0.255759613
76,0.099316642,-0.401119672,0.073467383,0.500436313,-0.474587054,0.025849259
77,0.082987368,-0.024678376,0.296807251,0.107665744,-0.321485627,-0.213819883
78,0.098734952,-0.207466527,0.230003882,0.306201479,-0.437470409,-0.13126893
79,0.111994284,-0.233568978,-0.212938876,0.345563262,-0.020630103,0.32493316
80,0.171718928,-0.20634799,-0.055744288,0.378066919,-0.150603702,0.227463217
81,0.139097964,-0.224186656,0.161162611,0.36328462,-0.385349267,-0.022064647
82,0.162225101,-0.097269037,0.12995877,0.259494138,-0.227227807,0.032266331
83,0.024581358,-0.26081495,-0.053362562,0.285396308,-0.207452388,0.077943919
84,0.111774518,-0.178039518,-0.102682941,0.289814036,-0.075356577,0.214457459
85,0.21642484,-0.202046183,0.202607981,0.418471023,-0.404654163,0.01381686
86,0.113117227,-0.283591963,0.012708178,0.39670919,-0.29630014,0.100409049
87,0.217346159,-0.369814598,0.122583212,0.587160757,-0.492397811,0.094762946
88,0.202730474,-0.038384565,0.075931369,0.241115039,-0.114315935,0.126799105
89,0.177233481,0.022476789,0.206792308,0.154756691,-0.184315519,-0.029558827
90,0.061346913,-0.251259967,-0.198501482,0.31260688,-0.052758485,0.259848395
