roi1,roi2,roi51,roi52,roi53,roi14,roi15,roi16,roi17,roi18,roi20,roi23,roi24,roi25,roi65,roi67,roi68,roi70,roi74,roi77,roi31,roi32,roi33,roi34,roi35,roi38,roi39,roi40,roi41,roi42,roi43,roi44,roi48,roi80,roi82,roi83,roi88,roi90,roi91,roi92,roi93,roi94
-0.314728784,-0.858535093,-0.262723863,-0.596336172,-0.658908579,-0.427325049,-0.551567574,-0.492249255,-0.515743715,-0.635127479,-0.315245687,-0.435384029,-0.412735414,-0.598454527,-0.349007352,-0.679729429,-0.497170228,-0.348166393,-0.424980442,-0.320263557,-0.555281139,-0.557531955,-0.475816862,-0.548555878,-0.800342814,-0.575320616,-0.541413995,-0.689247374,-0.369803838,-0.541501211,-0.82947348,-0.640088276,-0.466874848,-0.55343664,-0.519218323,-0.317854594,-0.539074879,-0.582833287,-0.509069068,-0.485919198,-0.534342652,-0.469838061
-0.257995477,-0.738306278,-0.218345841,-0.500492218,-0.570400391,-0.382393041,-0.494915733,-0.432536278,-0.456446579,-0.571568393,-0.283460686,-0.395149549,-0.374259817,-0.545575402,-0.305059838,-0.598653228,-0.442814625,-0.306740829,-0.38494131,-0.283213218,-0.487843201,-0.499007074,-0.426723879,-0.498696811,-0.72223706,-0.517730732,-0.487691466,-0.633686083,-0.335057322,-0.491652499,-0.756247576,-0.577333578,-0.419520405,-0.486735232,-0.464192483,-0.27996788,-0.483127021,-0.527615114,-0.461109372,-0.439358298,-0.480429959,-0.418439065
-0.20126217,-0.618077463,-0.173967819,-0.404648265,-0.481892203,-0.337461033,-0.438263892,-0.372823301,-0.397149442,-0.508009307,-0.251675685,-0.35491507,-0.335784219,-0.492696276,-0.261112324,-0.517577027,-0.388459023,-0.265315264,-0.344902177,-0.246162878,-0.420405262,-0.440482193,-0.377630895,-0.448837745,-0.644131306,-0.460140848,-0.433968936,-0.578124792,-0.300310805,-0.441803788,-0.683021672,-0.51457888,-0.372165961,-0.420033824,-0.409166644,-0.242081165,-0.427179163,-0.472396942,-0.413149676,-0.392797398,-0.426517267,-0.367040068
-0.144528864,-0.497848649,-0.129589797,-0.308804312,-0.393384014,-0.292529026,-0.381612052,-0.313110323,-0.337852306,-0.444450222,-0.219890684,-0.31468059,-0.297308622,-0.43981715,-0.217164809,-0.436500826,-0.334103421,-0.2238897,-0.304863045,-0.209112539,-0.352967324,-0.381957313,-0.328537911,-0.398978678,-0.566025552,-0.402550964,-0.380246407,-0.522563501,-0.265564289,-0.391955076,-0.609795768,-0.451824182,-0.324811518,-0.353332416,-0.354140804,-0.204194451,-0.371231304,-0.417178769,-0.36518998,-0.346236499,-0.372604574,-0.315641072
-0.087795557,-0.377619834,-0.085211775,-0.212960359,-0.304875826,-0.247597018,-0.324960211,-0.253397346,-0.278555169,-0.380891136,-0.188105683,-0.274446111,-0.258833025,-0.386938024,-0.173217295,-0.355424624,-0.279747819,-0.182464135,-0.264823912,-0.1720622,-0.285529385,-0.323432432,-0.279444928,-0.349119611,-0.487919798,-0.34496108,-0.326523877,-0.46700221,-0.230817772,-0.342106365,-0.536569864,-0.389069484,-0.277457074,-0.286631008,-0.299114964,-0.166307736,-0.315283446,-0.361960597,-0.317230285,-0.299675599,-0.318691881,-0.264242075
-0.03106225,-0.25739102,-0.040833752,-0.117116405,-0.216367638,-0.20266501,-0.26830837,-0.193684369,-0.219258033,-0.31733205,-0.156320682,-0.234211631,-0.220357427,-0.334058898,-0.129269781,-0.274348423,-0.225392216,-0.141038571,-0.22478478,-0.135011861,-0.218091447,-0.264907551,-0.230351944,-0.299260544,-0.409814044,-0.287371196,-0.272801348,-0.411440918,-0.196071256,-0.292257653,-0.46334396,-0.326314787,-0.23010263,-0.2199296,-0.244089125,-0.128421022,-0.259335588,-0.306742424,-0.269270589,-0.2531147,-0.264779188,-0.212843079
0.025671057,-0.137162205,0.00354427,-0.021272452,-0.12785945,-0.157733003,-0.211656529,-0.133971391,-0.159960896,-0.253772964,-0.124535681,-0.193977152,-0.18188183,-0.281179773,-0.085322267,-0.193272222,-0.171036614,-0.099613007,-0.184745647,-0.097961522,-0.150653508,-0.20638267,-0.18125896,-0.249401477,-0.33170829,-0.229781312,-0.219078818,-0.355879627,-0.16132474,-0.242408942,-0.390118056,-0.263560089,-0.182748187,-0.153228192,-0.189063285,-0.090534307,-0.20338773,-0.251524252,-0.221310893,-0.2065538,-0.210866496,-0.161444083
0.082404364,-0.01693339,0.047922292,0.074571501,-0.039351262,-0.112800995,-0.155004688,-0.074258414,-0.10066376,-0.190213878,-0.09275068,-0.153742672,-0.143406233,-0.228300647,-0.041374752,-0.112196021,-0.116681012,-0.058187442,-0.144706515,-0.060911183,-0.08321557,-0.147857789,-0.132165977,-0.19954241,-0.253602536,-0.172191428,-0.165356289,-0.300318336,-0.126578223,-0.19256023,-0.316892152,-0.200805391,-0.135393743,-0.086526783,-0.134037445,-0.052647593,-0.147439872,-0.196306079,-0.173351197,-0.1599929,-0.156953803,-0.110045086
0.13913767,0.103295424,0.092300314,0.170415455,0.049156927,-0.067868987,-0.098352847,-0.014545437,-0.041366623,-0.126654792,-0.060965679,-0.113508193,-0.104930635,-0.175421521,0.002572762,-0.031119819,-0.06232541,-0.016761878,-0.104667382,-0.023860844,-0.015777631,-0.089332909,-0.083072993,-0.149683343,-0.175496782,-0.114601545,-0.111633759,-0.244757045,-0.091831707,-0.142711518,-0.243666248,-0.138050693,-0.0880393,-0.019825375,-0.079011605,-0.014760878,-0.091492014,-0.141087907,-0.125391501,-0.113432001,-0.10304111,-0.05864609
0.195870977,0.223524239,0.136678336,0.266259408,0.137665115,-0.02293698,-0.041701006,0.045167541,0.017930513,-0.063095707,-0.029180678,-0.073273713,-0.066455038,-0.122542395,0.046520276,0.049956382,-0.007969807,0.024663687,-0.06462825,0.013189495,0.051660307,-0.030808028,-0.033980009,-0.099824276,-0.097391028,-0.057011661,-0.05791123,-0.189195754,-0.057085191,-0.092862807,-0.170440344,-0.075295995,-0.040684856,0.046876033,-0.023985766,0.023125836,-0.035544155,-0.085869735,-0.077431805,-0.066871101,-0.049128418,-0.007247094
